"n","method","replication","beta_1"
100,"Two-step",1,1.35953857649595
100,"Two-step",2,1.37258057357975
100,"Two-step",3,2.09360964894971
100,"Two-step",4,0.988933146386692
100,"Two-step",5,1.62828426454693
100,"Two-step",6,2.46207782816744
100,"Two-step",7,1.91916133072103
100,"Two-step",8,1.85413681828914
100,"Two-step",9,1.18204948909812
100,"Two-step",10,1.63155545805871
100,"Two-step",11,1.36683686334818
100,"Two-step",12,1.95303947243169
100,"Two-step",13,1.60765567533723
100,"Two-step",14,1.39778839199428
100,"Two-step",15,1.74635641662818
100,"Two-step",16,1.43360538398848
100,"Two-step",17,2.17092324359934
100,"Two-step",18,1.9537681036918
100,"Two-step",19,1.29619355206308
100,"Two-step",20,1.49809335224504
100,"Two-step",21,1.49853360054827
100,"Two-step",22,1.45366973860219
100,"Two-step",23,1.78108016148926
100,"Two-step",24,1.64859010078947
100,"Two-step",25,2.37984673884978
100,"Two-step",26,1.22055746326078
100,"Two-step",27,1.02972423149636
100,"Two-step",28,1.23723472297109
100,"Two-step",29,1.71821677911787
100,"Two-step",30,2.30278079170796
100,"Two-step",31,1.32053525137559
100,"Two-step",32,1.3057835669801
100,"Two-step",33,1.60253543587532
100,"Two-step",34,1.76809707017427
100,"Two-step",35,0.864593041893605
100,"Two-step",36,2.17581306917127
100,"Two-step",37,1.55046611242745
100,"Two-step",38,1.45882380931126
100,"Two-step",39,1.75973870113785
100,"Two-step",40,1.26348605188011
100,"Two-step",41,1.72810624491357
100,"Two-step",42,1.21204014606725
100,"Two-step",43,1.53771852695187
100,"Two-step",44,1.40838136447797
100,"Two-step",45,1.85385730710911
100,"Two-step",46,1.47504489857515
100,"Two-step",47,1.8317296481534
100,"Two-step",48,1.49874574216639
100,"Two-step",49,1.18181117607845
100,"Two-step",50,1.55857953221071
100,"Two-step",51,1.92104332284629
100,"Two-step",52,2.10909216085755
100,"Two-step",53,1.13934965338305
100,"Two-step",54,1.51861843661109
100,"Two-step",55,1.50580379297874
100,"Two-step",56,1.86392714746475
100,"Two-step",57,1.57809121764857
100,"Two-step",58,1.12822940410272
100,"Two-step",59,1.2317378490767
100,"Two-step",60,1.53389112819779
100,"Two-step",61,1.17397930434957
100,"Two-step",62,1.21323410533979
100,"Two-step",63,1.45323661699506
100,"Two-step",64,1.15184929791147
100,"Two-step",65,1.33350085607024
100,"Two-step",66,1.80650938477601
100,"Two-step",67,2.11278691518818
100,"Two-step",68,1.71134063954992
100,"Two-step",69,1.20771855142052
100,"Two-step",70,1.91295985663751
100,"Two-step",71,2.15321963230279
100,"Two-step",72,1.42120017115187
100,"Two-step",73,1.43963603484789
100,"Two-step",74,1.61241533605137
100,"Two-step",75,2.89825715910945
100,"Two-step",76,1.49390902648063
100,"Two-step",77,1.67180698966198
100,"Two-step",78,1.72251042339378
100,"Two-step",79,1.35899828384568
100,"Two-step",80,1.42621109443728
100,"Two-step",81,1.45318941558952
100,"Two-step",82,1.43545999683656
100,"Two-step",83,1.7911568356978
100,"Two-step",84,1.61442253474039
100,"Two-step",85,1.54857387940746
100,"Two-step",86,1.50009060867791
100,"Two-step",87,1.32698467136146
100,"Two-step",88,1.28881874898664
100,"Two-step",89,1.2702865881991
100,"Two-step",90,1.70373793454315
100,"Two-step",91,1.56514402857743
100,"Two-step",92,1.70997127393661
100,"Two-step",93,1.83374361637714
100,"Two-step",94,1.62920836383463
100,"Two-step",95,1.19730844736581
100,"Two-step",96,1.75036047534995
100,"Two-step",97,1.16310028795739
100,"Two-step",98,2.26741254630272
100,"Two-step",99,1.11055201413234
100,"Two-step",100,2.00945223365395
100,"Two-step",101,2.25539170553319
100,"Two-step",102,1.22919694768345
100,"Two-step",103,2.17052110179614
100,"Two-step",104,1.87417249247826
100,"Two-step",105,1.53979359122701
100,"Two-step",106,1.40928745416547
100,"Two-step",107,1.67017228671378
100,"Two-step",108,1.59213707075183
